City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
307,Seredka,RU,58.1584,28.1858,15.55,99,94,3.94
308,Bilma,NE,18.6853,12.9164,68.0,19,100,7.67
309,Tonekabon,IR,36.8163,50.8738,55.35,86,93,1.12
310,Rawson,AR,-43.3002,-65.1023,59.83,59,7,7.61
311,Koungou,YT,-12.7336,45.2042,78.51,89,63,2.3
312,Marzuq,YE,14.4,46.4667,54.48,43,23,2.91
313,Kruisfontein,ZA,-34.0033,24.7314,65.5,94,91,3.69
314,Vila Do Maio,CV,15.1333,-23.2167,74.19,80,0,17.76
315,Bomet,KE,-0.7813,35.3416,51.1,86,5,2.95
316,Garmsar,IR,35.2182,52.3409,50.86,60,100,2.26
317,Sistranda,NO,63.7256,8.834,30.16,67,100,15.66
318,Bulawayo,ZW,-20.15,28.5833,65.66,83,73,3.15
319,Banikoara,BJ,11.2985,2.4386,69.94,19,27,5.12
320,Brae,GB,60.3964,-1.353,37.2,62,100,12.66
321,Port-Cartier,CA,50.0334,-66.8654,26.28,87,27,8.48
322,Costinesti,RO,43.95,28.6333,40.24,83,53,8.59
323,Sakakah,SA,29.9697,40.2064,54.34,65,0,5.32
324,Iqaluit,CA,63.7506,-68.5145,17.33,86,100,3.44
325,Limon,CR,10.0,-83.0333,75.06,84,77,3.33
326,Gweta,BW,-20.1833,25.2333,72.28,76,100,5.1
327,Falanna,GR,39.7167,22.4,54.97,92,96,1.72
328,Marovoay,MG,-16.1,46.6333,76.48,84,87,3.76
329,Gunjur,GM,13.2019,-16.7339,68.07,88,0,8.05
330,Cordoba,AR,-31.4135,-64.1811,75.76,43,0,10.36
331,Ouadda,CF,8.0777,22.4007,65.62,23,13,5.64
332,Ornes,NO,66.8689,13.7078,25.38,83,100,7.18
333,Phalaborwa,ZA,-23.943,31.1411,72.68,91,100,5.28
334,Oranjemund,NA,-28.55,16.4333,67.51,91,23,11.7
335,Rundu,NA,-17.9333,19.7667,67.98,86,98,3.27
336,Dwarka,IN,22.2394,68.9678,75.65,53,71,10.83
337,Yarega,RU,63.4354,53.5765,9.64,92,93,8.48
338,Jalu,LY,29.0331,21.5482,64.35,46,0,8.01
339,Boden,SE,65.8252,21.6886,3.2,94,97,3.51
340,Pryluky,UA,50.5932,32.3876,30.2,97,99,2.93
341,Sumbe,AO,-11.2061,13.8437,74.62,80,99,5.97
342,Villa Maria,AR,-32.4075,-63.2402,63.82,61,0,8.43
343,Itaituba,BR,-4.2761,-55.9836,78.04,71,99,1.74
344,Tolstoy-Yurt,RU,43.4444,45.7722,35.92,100,100,2.24
345,Jabalpur,IN,23.167,79.9501,65.25,68,52,0.0
346,Zelenets,RU,61.8849,50.7489,17.85,93,92,7.56
347,Unjha,IN,23.8,72.4,69.42,39,82,4.43
348,Umaria,IN,23.5333,80.8333,63.27,52,12,1.25
349,Gloversville,US,43.0528,-74.3438,33.55,95,100,5.99
350,Uzhur,RU,55.3036,89.8339,-8.63,95,40,4.74
351,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.18,80,98,8.86
352,Mut,TR,36.6439,33.4389,51.76,88,15,1.05
353,San Rafael,AR,-34.6177,-68.3301,71.19,24,0,7.76
354,Purna,IN,19.1833,77.05,73.29,60,41,3.15
355,Sechura,PE,-5.5569,-80.8222,69.66,78,56,8.97
356,Encruzilhada Do Sul,BR,-30.5439,-52.5219,60.98,89,6,13.31
357,Jega,NG,12.2175,4.3792,69.1,20,99,7.58
358,Bogotol,RU,56.2078,89.5342,-11.83,98,33,4.14
359,Porteirinha,BR,-15.7433,-43.0283,66.76,96,92,3.36
360,Tonantins,BR,-2.8731,-67.8022,73.62,98,100,1.92
361,Teguise,ES,29.0605,-13.564,57.42,88,0,8.05
362,Alagoa Grande,BR,-7.1583,-35.63,73.72,88,100,3.24
363,Virginia Beach,US,36.8529,-75.978,59.05,95,100,16.11
364,Ilorin,NG,8.5,4.55,76.37,50,76,3.62
365,Saint John,CA,45.2727,-66.0677,32.05,83,86,12.35
366,Valparaiso,CL,-33.0393,-71.6273,56.84,88,0,4.61
367,Alta Floresta,BR,-9.8756,-56.0861,70.5,99,99,3.04
368,Tallahassee,US,30.4383,-84.2807,49.32,88,0,0.0
369,Kologriv,RU,58.8275,44.3178,19.44,94,100,12.66
370,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,84,100,4.76
371,Nampula,MZ,-15.1165,39.2666,70.52,96,87,3.8
372,Rosa Zarate,EC,0.3333,-79.4667,74.8,84,89,2.77
373,Nuevitas,CU,21.5453,-77.2644,72.09,82,0,4.79
374,Sioux Lookout,CA,50.1001,-91.917,23.07,93,100,8.05
375,Igarka,RU,67.4667,86.5833,4.33,91,100,21.25
376,Tyukhtet,RU,56.5389,89.3011,-12.71,99,41,3.2
377,Raudeberg,NO,61.9875,5.1352,28.87,50,100,10.89
378,Aktau,KZ,43.65,51.2,27.18,70,7,11.86
379,Henties Bay,NA,-22.116,14.2845,63.72,86,97,1.99
380,Alberdi,AR,-32.8899,-60.6906,68.07,49,0,14.97
381,Yarada,IN,17.65,83.2667,75.52,94,20,2.3
382,Poltava,UA,49.5937,34.5407,31.33,97,100,0.47
383,Tweed,CA,44.4751,-77.3162,32.86,97,100,12.48
384,Husavik,IS,66.0449,-17.3389,15.85,78,100,3.31
385,Sosnovo,RU,60.5514,30.2144,15.49,97,99,3.76
386,Kaniama,CD,-7.5667,24.1833,62.96,97,96,2.04
387,Oriximina,BR,-1.7656,-55.8661,77.49,73,96,3.13
388,Mahalapye,BW,-23.1041,26.8142,71.64,71,87,10.92
389,Antalaha,MG,-14.9003,50.2788,73.45,86,100,4.29
390,Nalut,LY,30.3333,10.85,63.23,34,17,12.19
391,Uige,AO,-7.6087,15.0613,64.71,99,100,1.21
392,Verkhnyaya Inta,RU,65.9811,60.3094,16.45,79,21,19.44
393,Kalmunai,LK,7.4167,81.8167,79.84,75,37,10.11
394,Sinnar,SD,13.5691,33.5672,73.11,51,32,9.82
395,Tank,PK,32.2217,70.3793,59.27,21,0,2.95
396,Kattivakkam,IN,13.2167,80.3167,77.09,72,70,7.96
397,Pailon,BO,-17.65,-62.75,72.5,96,100,6.87
398,Cockburn Town,TC,21.4612,-71.1419,78.24,66,0,17.09
399,Neyshabur,IR,36.2133,58.7958,45.28,50,99,1.01
400,Prnjavor,BA,44.8703,17.6628,38.46,88,96,3.38
401,Imeni Zhelyabova,RU,58.9544,36.5956,20.75,96,100,4.18
402,Sinop,TR,41.7711,34.8709,47.89,91,47,5.35
403,Anzio,IT,41.4853,12.6179,60.26,99,42,13.11
404,Naples,IT,40.8333,14.25,66.15,89,75,4.61
405,Marabba,SD,12.35,32.1833,72.46,38,17,10.13
406,Albox,ES,37.3886,-2.1495,51.33,77,2,8.57
